  1  Vdig	    8
  2  Vana	   88
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  139
 12  VthrComp	   95
 13  VIBias_Bus	   60
 17  PHOffset	  168
 19  Vcomp_ADC	   10
 20  PHScale	  121
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  110
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   83
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  117
 12  VthrComp	   98
 13  VIBias_Bus	   60
 17  PHOffset	  146
 19  Vcomp_ADC	   10
 20  PHScale	  108
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  145
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   93
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  129
 12  VthrComp	   94
 13  VIBias_Bus	   60
 17  PHOffset	  148
 19  Vcomp_ADC	   10
 20  PHScale	  109
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  136
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   88
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  139
 12  VthrComp	  100
 13  VIBias_Bus	   60
 17  PHOffset	  168
 19  Vcomp_ADC	   10
 20  PHScale	  106
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  124
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   88
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  153
 12  VthrComp	   99
 13  VIBias_Bus	   60
 17  PHOffset	  175
 19  Vcomp_ADC	   10
 20  PHScale	  106
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  105
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   88
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  167
 12  VthrComp	  100
 13  VIBias_Bus	   60
 17  PHOffset	  185
 19  Vcomp_ADC	   10
 20  PHScale	  107
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  127
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   88
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  163
 12  VthrComp	   99
 13  VIBias_Bus	   60
 17  PHOffset	  161
 19  Vcomp_ADC	   10
 20  PHScale	  106
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  113
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   78
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  171
 12  VthrComp	  101
 13  VIBias_Bus	   60
 17  PHOffset	  177
 19  Vcomp_ADC	   10
 20  PHScale	  100
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  138
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   80
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  175
 12  VthrComp	  108
 13  VIBias_Bus	   60
 17  PHOffset	  158
 19  Vcomp_ADC	   10
 20  PHScale	  106
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  132
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   93
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  165
 12  VthrComp	  109
 13  VIBias_Bus	   60
 17  PHOffset	  172
 19  Vcomp_ADC	   10
 20  PHScale	  116
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  113
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   80
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  189
 12  VthrComp	   98
 13  VIBias_Bus	   60
 17  PHOffset	  160
 19  Vcomp_ADC	   10
 20  PHScale	  107
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  126
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   80
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  203
 12  VthrComp	   99
 13  VIBias_Bus	   60
 17  PHOffset	  173
 19  Vcomp_ADC	   10
 20  PHScale	  109
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  115
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   93
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  173
 12  VthrComp	   89
 13  VIBias_Bus	   60
 17  PHOffset	  166
 19  Vcomp_ADC	   10
 20  PHScale	  112
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  127
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   83
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  125
 12  VthrComp	   95
 13  VIBias_Bus	   60
 17  PHOffset	  173
 19  Vcomp_ADC	   10
 20  PHScale	   93
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  115
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   84
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  147
 12  VthrComp	  101
 13  VIBias_Bus	   60
 17  PHOffset	  175
 19  Vcomp_ADC	   10
 20  PHScale	   98
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  125
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   81
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  155
 12  VthrComp	  100
 13  VIBias_Bus	   60
 17  PHOffset	  160
 19  Vcomp_ADC	   10
 20  PHScale	  106
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  127
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
