  1  Vdig	    8
  2  Vana	   98
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  135
 12  VthrComp	   89
 13  VIBias_Bus	   60
 17  PHOffset	  171
 19  Vcomp_ADC	   10
 20  PHScale	   98
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  109
 31  VD 	 2800
 32  VA 	 1800
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   94
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  177
 12  VthrComp	   97
 13  VIBias_Bus	   60
 17  PHOffset	  196
 19  Vcomp_ADC	   10
 20  PHScale	  108
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  116
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   94
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  137
 12  VthrComp	   99
 13  VIBias_Bus	   60
 17  PHOffset	  165
 19  Vcomp_ADC	   10
 20  PHScale	  111
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  100
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   84
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  173
 12  VthrComp	   96
 13  VIBias_Bus	   60
 17  PHOffset	  173
 19  Vcomp_ADC	   10
 20  PHScale	  104
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  117
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   84
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  147
 12  VthrComp	   96
 13  VIBias_Bus	   60
