  1  Vdig	    8
  2  Vana	   79
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  139
 12  VthrComp	   97
 13  VIBias_Bus	   60
 17  PHOffset	  163
 19  Vcomp_ADC	   10
 20  PHScale	  107
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  117
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   81
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  151
 12  VthrComp	   95
 13  VIBias_Bus	   60
 17  PHOffset	  144
 19  Vcomp_ADC	   10
 20  PHScale	  112
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  144
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   85
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  117
 12  VthrComp	   86
 13  VIBias_Bus	   60
 17  PHOffset	  146
 19  Vcomp_ADC	   10
 20  PHScale	  112
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  128
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   74
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  163
 12  VthrComp	   89
 13  VIBias_Bus	   60
 17  PHOffset	  159
 19  Vcomp_ADC	   10
 20  PHScale	  109
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  125
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   85
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  171
 12  VthrComp	   83
 13  VIBias_Bus	   60
 17  PHOffset	  155
 19  Vcomp_ADC	   10
 20  PHScale	  107
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  126
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   80
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  147
 12  VthrComp	   84
 13  VIBias_Bus	   60
 17  PHOffset	  155
 19  Vcomp_ADC	   10
 20  PHScale	  104
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  130
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   80
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
 11  Vtrim	  167
 12  VthrComp	  101
 13  VIBias_Bus	   60
 17  PHOffset	  166
 19  Vcomp_ADC	   10
 20  PHScale	  111
 22  VIColOr	   99
 25  VCal	  255
 26  CalDel	  124
253  CtrlReg	    4
254  WBC	  100
255  RBReg	   12
  1  Vdig	    8
  2  Vana	   90
  3  Vsh	   30
  4  Vcomp	   12
  7  VwllPr	  160
  9  VwllSh	  160
 10  VhldDel	  252
